CLV;CLM;CLI;FEGL;SIGL;PGL;ALGL;MNGL;PFGL;CAGL;MGGL;TIGL;FOGL;Fe3O4GL;G1;G2;G3;G23;G4;FE1;SI1;P1;AL1;MN1;PF1;CA1;MG1;TI1;FO1;Fe3O4_1;FE2;SI2;P2;AL2;MN2;PF2;CA2;MG2;TI2;FO2;Fe3O4_2;FE3;SI3;P3;AL3;MN3;PF3;CA3;MG3;TI3;FO3;Fe3O4_3;FE23;SI23;P23;AL23;MN23;PF23;CA23;MG23;TI23;FO23;Fe3O4_23;FE4;SI4;P4;AL4;MN4;PF4;CA4;MG4;TI4;FO4;Fe3O4_4;FQGL;FQ1;FQ2;FQ3;FQ23;FQ4
IF;FFG;IF;35,252;47,193;0,051;0,4;0,12;1,624;0,023;0,061;0,03;-99;7,342;56,522;13,565;4,944;18,509;24,969;34,454;49,557;0,027;0,159;0,034;0,766;0,017;0,014;0,015;-99;10,41;44,024;35,257;0,036;0,365;0,08;1,269;0,046;0,071;0,032;-99;7,35;43,337;34,256;0,073;0,789;0,217;2,57;0,027;0,132;0,055;-99;3,07;43,84;34,99;0,046;0,478;0,117;1,617;0,041;0,087;0,038;-99;6,207;30,693;50,886;0,11;0,887;0,316;3,571;0,059;0,148;0,022;-99;1,24;99,749;99,533;99,913;100,129;99,971;100,072
IF;FFG;IF;36,2140;46,113;0,032;0,261;0,071;1,419;0,022;0,017;0,024;-99;5,083;54,11;13,753;5,635;19,388;26,502;42,727;36,858;0,033;0,207;0,04;1,369;0,021;0,015;0,022;-99;6,43;46,907;31,291;0,038;0,304;0,081;1,97;0,023;0,025;0,036;-99;7,04;44,808;32,378;0,043;0,372;0,168;2,123;0,025;0,039;0,037;-99;5,92;46,297;31,607;0,039;0,324;0,106;2,014;0,024;0,029;0,036;-99;6,714;15,54;75,621;0,025;0,326;0,109;1,084;0,018;0,014;0,023;-99;1,14;99,621;99,484;100,66;99,147;100,219;99,462
IF;FFG;IF;34,9740;47,425;0,027;0,409;0,106;1,61;0,019;0,048;0,035;-99;3,96;71,093;9,139;3,994;13,133;15,774;38,131;43,27;0,022;0,325;0,042;1,368;0,017;0,056;0,027;-99;4,8;46,777;29,094;0,038;0,495;0,139;2,891;0,022;0,043;0,058;-99;4,4;35,545;44,982;0,049;0,709;0,474;2,909;0,032;0,055;0,064;-99;1,75;43,361;33,926;0,041;0,56;0,241;2,896;0,025;0,047;0,06;-99;3,594;13,762;77,389;0,035;0,659;0,28;1,628;0,048;0,014;0,022;-99;0,48;99,607;99,518;99,595;100,234;99,788;99,861
IS;FFG;IF;29,91;55,743;0,021;0,145;0,086;0,937;0,025;0,024;0,016;-99;2,487;79,364;8,113;2,298;10,411;10,225;32,891;51,636;0,021;0,139;0,064;0,871;0,026;0,019;0,017;-99;2,77;29,262;55,732;0,028;0,177;0,14;1,673;0,018;0,077;0,018;-99;2,77;26,847;58,8;0,032;0,245;0,424;1,804;0,026;0,033;0,022;-99;0,93;28,729;56,409;0,029;0,192;0,203;1,702;0,02;0,067;0,019;-99;2,364;7,976;86,939;0,015;0,139;0,139;0,675;0,008;0,014;0,022;-99;0,42;99,726;99,767;99,68;99,902;99,73;99,4
IS;FFG;IF;23,815;65,041;0,025;0,157;0,113;1,107;0,029;0,084;0,016;-99;0,642;83,882;8,612;2,843;11,455;4,663;24,177;64,768;0,025;0,158;0,104;0,997;0,03;0,094;0,016;-99;0,53;27,127;59,103;0,026;0,118;0,133;1,855;0,025;0,029;0,014;-99;1,65;22,082;66,274;0,028;0,196;0,202;1,86;0,026;0,037;0,015;-99;1,34;25,875;60,883;0,026;0,137;0,15;1,856;0,025;0,031;0,014;-99;1,573;12,236;80,169;0,026;0,188;0,178;1,245;0,01;0,033;0,028;-99;0,37;100,663;100,802;100,102;100,257;100,138;99,443
IS;FFG;IF;32,903;51,196;0,029;0,121;0,098;1,585;0,026;0,022;0,012;-99;4,165;82,032;8,746;2,401;11,147;6,821;35,095;48,304;0,029;0,089;0,068;1,501;0,025;0,02;0,01;-99;4,5;31,012;52,084;0,033;0,234;0,183;2,446;0,025;0,034;0,02;-99;4,7;26,387;58,823;0,037;0,351;0,451;2,45;0,041;0,051;0,029;-99;1,09;30,016;53,536;0,034;0,259;0,241;2,447;0,028;0,038;0,022;-99;3,922;11,254;82,148;0,024;0,287;0,229;1,193;0,017;0,022;0,028;-99;0,53;100,053;100,123;99,33;100,1;99,497;100,117
IS;FFG;IGO;26,483;55,946;0,025;0,212;0,135;3,466;1,317;0,688;0,011;-99;1,132;81,093;9,275;2,635;11,91;6,997;27,381;53,704;0,025;0,221;0,114;3,86;1,602;0,833;0,011;-99;1,24;27,92;58,357;0,027;0,127;0,158;2,069;0,04;0,041;0,012;-99;0,83;24,634;61,423;0,029;0,206;0,352;2,131;0,236;0,139;0,016;-99;0,78;27,193;59,035;0,027;0,144;0,201;2,083;0,083;0,063;0,013;-99;0,819;14,872;76,67;0,025;0,227;0,263;1,25;0,012;0,069;0,115;-99;0,42;99,696;99,539;100,8;99,864;100,592;99,988
IS;FFG;IF;33,118;49,207;0,033;0,324;0,047;2,254;0,466;0,265;0,03;-99;3,775;62,44;15,602;4,081;19,683;17,877;36,117;45,507;0,032;0,206;0,042;1,989;0,344;0,161;0,025;-99;2,46;43,006;34,519;0,045;0,359;0,068;2,9;0,234;0,127;0,046;-99;9,28;36,817;42,983;0,046;0,553;0,073;2,908;0,407;0,223;0,048;-99;8,16;41,723;36,274;0,045;0,399;0,069;2,902;0,27;0,147;0,046;-99;9,048;13,167;76,368;0,022;0,653;0,038;2,468;0,03;0,76;1,11;-99;2,56;99,9;99,911;99,541;99,677;99,569;100,225
IDOC;FFG;IDO;21,687;38,605;0,022;0,264;0,276;15,299;10,181;4,857;0,018;-99;1,266;90,019;5,978;2,809;8,787;1,194;21,377;38,524;0,022;0,245;0,267;15,572;10,411;4,938;0,016;-99;1,24;20,676;38,067;0,02;0,293;0,293;16,189;10,626;5,364;0,021;-99;1,24;31,422;42,758;0,041;0,768;0,522;6,315;3,063;1,779;0,05;-99;1,85;24,111;39,567;0,027;0,445;0,366;13,033;8,208;4,218;0,03;-99;1,435;27,244;37,604;0,028;0,372;0,315;11,374;0,051;3,451;7,377;-99;1,95;100,594;100,621;100,502;100,361;100,457;99,583
IDOC;FFG;IDO;20,566;38,989;0,02;0,285;0,25;15,886;10,437;5,502;0,015;-99;1,548;94,976;3,958;0,533;4,491;0,533;20,735;39,144;0,02;0,278;0,248;15,71;10,319;5,441;0,015;-99;1,54;16,683;34,936;0,019;0,398;0,296;20,328;13,419;7,092;0,019;-99;1,65;19,874;33,706;0,023;0,335;0,305;18,349;12,266;6,118;0,018;-99;1,54;17,062;34,79;0,019;0,391;0,297;20,093;13,282;6,976;0,019;-99;1,637;19,984;46,744;0,026;0,688;0,213;11,771;0,026;3,951;7,535;-99;2,26;100,833;100,865;100,412;99,599;100,315;99,543
