CLV;CLM;CLI;FEGL;SIGL;PGL;ALGL;MNGL;PFGL;CAGL;MGGL;TIGL;FOGL;Fe3O4GL;G1;G2;G3;G23;G4;FE1;SI1;P1;AL1;MN1;PF1;CA1;MG1;TI1;FO1;Fe3O4_1;FE2;SI2;P2;AL2;MN2;PF2;CA2;MG2;TI2;FO2;Fe3O4_2;FE3;SI3;P3;AL3;MN3;PF3;CA3;MG3;TI3;FO3;Fe3O4_3;FE23;SI23;P23;AL23;MN23;PF23;CA23;MG23;TI23;FO23;Fe3O4_23;FE4;SI4;P4;AL4;MN4;PF4;CA4;MG4;TI4;FO4;Fe3O4_4;FQGL;FQ1;FQ2;FQ3;FQ23;FQ4
IF;IFR;IFR;52,9680;20,628;0,044;0,821;0,586;2,185;0,011;0,075;0,052;-99;-99;13,517;17,618;11,976;29,594;56,896;64,42;4,2;0,041;0,43;0,636;2,12;0,01;0,01;0,064;-99;-99;63,8;5,71;0,031;0,4;0,825;1,7;0,01;0,01;0,032;-99;-99;56,5;15,88;0,033;0,56;0,828;1,57;0,016;0,01;0,069;-99;-99;60,846;9,826;0,032;0,465;0,826;1,647;0,012;0,01;0,047;-99;-99;46,15;30,15;0,051;1,1;0,449;2,48;0,051;0,125;0,01;-99;-99;100,358;99,85;100,213;100,028;100,138;100,593
IC;IC;IGO;35,228;45,07;0,052;0,109;0,024;4,147;0,01;0,01;0,011;-99;-99;95,577;2,666;0,54;3,206;1,223;35,17;45,14;0,052;0,1;0,015;4,17;0,01;0,01;0,01;-99;-99;34,49;46,66;0,054;0,1;0,119;3,93;0,01;0,01;0,01;-99;-99;37,03;43,51;0,058;0,15;0,339;3,84;0,01;0,022;0,011;-99;-99;34,918;46,129;0,055;0,108;0,156;3,915;0,01;0,012;0,01;-99;-99;40,56;36,85;0,052;0,83;0,401;2,97;0,057;0,01;0,01;-99;-99;99,873;99,861;100,308;101,055;100,434;99,353
IF;IC;IC;28,789;56,768;0,026;0,631;0,034;0,83;0,01;0,082;0,027;-99;-99;55,923;11,761;4,982;16,743;27,333;22,09;67,01;0,021;0,28;0,024;0,63;0,01;0,119;0,01;-99;-99;41,37;39,09;0,032;0,57;0,039;0,97;0,01;0,01;0,033;-99;-99;50,86;25,71;0,029;0,55;0,041;0,56;0,01;0,01;0,025;-99;-99;44,194;35,109;0,031;0,564;0,04;0,848;0,01;0,01;0,031;-99;-99;33,06;49,08;0,032;1,39;0,05;1,23;0,061;0,051;0,01;-99;-99;99,611;99,72;99,953;99,699;99,879;99,226
IC;IC;IC;35,0930;47,259;0,037;0,127;0,039;1,746;0,011;0,072;0,011;-99;-99;94,715;2,573;0,758;3,331;1,954;35,13;47,23;0,036;0,11;0,033;1,73;0,01;0,073;0,01;-99;-99;37,05;43,92;0,048;0,23;0,084;2,07;0,043;0,079;0,01;-99;-99;43,64;34,49;0,059;0,38;0,204;2,75;0,01;0,045;0,02;-99;-99;38,55;41,774;0,051;0,264;0,111;2,225;0,035;0,071;0,012;-99;-99;27,42;58,02;0,037;0,74;0,187;1,69;0,033;0,029;0,01;-99;-99;99,532;99,513;99,541;100,486;99,756;100,051
IC;IC;IC;34,609;46,79;0,05;0,451;0,497;1,848;0,011;0,032;0,021;-99;-99;86,452;3,918;1,91;5,828;7,719;33,27;49,11;0,049;0,3;0,34;1,8;0,01;0,032;0,01;-99;-99;40,01;33,15;0,057;0,79;3,737;2,68;0,04;0,06;0,032;-99;-99;51,27;22,59;0,049;0,7;1,621;1,7;0,013;0,01;0,035;-99;-99;43,7;29,689;0,054;0,761;3,044;2,359;0,031;0,044;0,033;-99;-99;42,74;33,72;0,058;1,91;0,337;2;0,13;0,019;0,01;-99;-99;99,39;99,379;98,91;100,554;99,449;99,462
IC;QF;IC;19,854;68,832;0,018;0,448;0,029;0,495;0,01;0,143;0,031;-99;-99;82,726;3,471;2,222;5,693;11,582;15,96;74,85;0,01;0,11;0,016;0,2;0,01;0,165;0,012;-99;-99;33,46;50,61;0,028;0,63;0,028;1,03;0,01;0,074;0,042;-99;-99;49,14;28,11;0,038;0,85;0,05;0,94;0,01;0,02;0,066;-99;-99;39,58;41,828;0,032;0,716;0,037;0,995;0,01;0,053;0,051;-99;-99;37,97;39,12;0,065;2,73;0,116;2,36;0,156;0,03;0,01;-99;-99;98,422;98,209;100,334;100,403;100,362;98,99
IF;IF;IC;28,72;55,524;0,039;1,379;0,043;1,184;0,01;0,122;0,092;-99;-99;41,156;9,067;9,498;18,565;40,293;13,31;79,47;0,013;0,29;0,018;0,35;0,01;0,2;0,027;-99;-99;31,35;52,8;0,038;1,38;0,036;1,31;0,01;0,062;0,08;-99;-99;43,47;36,34;0,031;1,3;0,035;0,41;0,01;0,05;0,054;-99;-99;37,551;44,379;0,034;1,339;0,035;0,85;0,01;0,056;0,067;-99;-99;40,39;36,2;0,068;2,51;0,073;2,19;0,17;0,072;0,01;-99;-99;99,517;99,429;100,597;100,429;100,511;99,148
IC;IC;IC;31,912;53,052;0,034;0,121;0,029;1,654;0,012;0,062;0,01;-99;-99;97,268;0,94;0,323;1,263;1,469;31,9;53,14;0,033;0,11;0,028;1,63;0,01;0,062;0,01;-99;-99;34,29;46,95;0,077;0,2;0,046;2,85;0,019;0,043;0,01;-99;-99;39,41;39,85;0,086;0,3;0,064;3,18;0,042;0,074;0,01;-99;-99;35,599;45,134;0,079;0,226;0,051;2,934;0,025;0,051;0,01;-99;-99;29,55;54,05;0,049;0,77;0,077;2,16;0,01;0,098;0,108;-99;-99;100,652;100,681;99,332;100,08;99,523;99,655
IC;IC;IC;24,643;63,371;0,033;0,338;0,031;1,135;0,019;0,026;0,025;-99;-99;87,16;2,094;1,704;3,798;9,048;22,51;67,16;0,022;0,1;0,016;0,82;0,01;0,01;0,01;-99;-99;34,84;47,58;0,056;0,53;0,052;2,05;0,024;0,061;0,029;-99;-99;46,62;30,25;0,077;0,87;0,08;1,99;0,041;0,092;0,076;-99;-99;40,125;39,805;0,065;0,683;0,065;2,023;0,032;0,075;0,05;-99;-99;38,69;36,76;0,124;2,49;0,157;3,8;0,162;0,155;0,105;-99;-99;100,261;100,364;100,28;100,251;100,268;99,274
AT;AT;AT;66,0670;1,135;0,054;2,166;0,029;2,127;0,01;0,01;0,106;-99;-99;32,616;25,713;12,602;38,315;29,069;66,69;0,76;0,06;1,88;0,037;1,99;0,01;0,01;0,058;-99;-99;66,63;0,72;0,046;2,07;0,031;1,92;0,01;0,01;0,08;-99;-99;65,93;1,51;0,048;2,15;0,023;2,04;0,01;0,01;0,088;-99;-99;66,4;0,98;0,047;2,096;0,028;1,959;0,01;0,01;0,083;-99;-99;64,93;1,76;0,057;2,58;0,02;2,5;0,191;0,01;0,01;-99;-99;100,171;100,24;100,216;100,208;100,214;100,038
IF;IAL;IAL;56,423;8,487;0,092;6,481;0,096;3,76;0,011;0,036;0,326;-99;-99;8,722;8,889;6,103;14,992;76,286;55,37;7,85;0,166;6,68;0,082;4,2;0,01;0,042;0,556;-99;-99;59,02;8,54;0,071;3,66;0,06;2,36;0,017;0,01;0,268;-99;-99;56,68;14,15;0,05;2,82;0,061;1,8;0,01;0,01;0,264;-99;-99;58,067;10,824;0,062;3,318;0,06;2,132;0,014;0,01;0,266;-99;-99;56,22;8,1;0,089;7,08;0,105;4,03;0,311;0,041;0,01;-99;-99;100,103;98,987;99,476;100,283;99,802;100,289
IF;IF;IF;25,749;57,476;0,072;2,545;0,298;2,477;0,016;0,036;0,131;-99;-99;19,338;11,935;5,18;17,115;63,546;17,22;71,26;0,048;1,85;0,195;1,89;0,01;0,025;0,1;-99;-99;26,89;59,43;0,025;0,91;0,085;0,87;0,01;0,01;0,049;-99;-99;25,87;60,47;0,042;1,98;0,134;1,46;0,047;0,034;0,14;-99;-99;26,581;59,745;0,03;1,234;0,1;1,049;0,021;0,017;0,077;-99;-99;28,12;52,67;0,091;3,11;0,383;3,04;0,155;0,045;0,016;-99;-99;100,045;100,116;99,891;101,387;100,344;99,942
IF;IF;IF;27,139;57,692;0,046;1,623;0,218;1,492;0,015;0,019;0,057;-99;-99;27,742;16,372;7,086;23,458;48,8;28,12;57,08;0,024;0,89;0,171;1,02;0,027;0,01;0,012;-99;-99;27,86;58,32;0,033;0,91;0,122;1;0,01;0,01;0,04;-99;-99;25,89;60,24;0,042;0,99;0,18;1,05;0,021;0,01;0,05;-99;-99;27,265;58,9;0,036;0,934;0,14;1,015;0,013;0,01;0,043;-99;-99;26,52;57,46;0,064;2,37;0,283;1,99;0,09;0,028;0,01;-99;-99;100,087;99,518;100,355;99,705;100,159;100,376
IF;FFG;IF;25,631;60,1;0,038;1,915;0,254;1,566;0,017;0,023;0,04;-99;-99;23,497;14,664;9,947;24,611;51,891;33,21;49,67;0,015;1,19;0,475;0,97;0,021;0,013;0,01;-99;-99;29,6;55,88;0,02;1,12;0,173;1;0,014;0,01;0,04;-99;-99;26,35;61,48;0,018;0,7;0,073;0,71;0,036;0,012;0,053;-99;-99;28,286;58,143;0,019;0,95;0,133;0,883;0,023;0,011;0,045;-99;-99;20,94;65,75;0,058;2,7;0,212;2,16;0,052;0,034;0,013;-99;-99;100,722;100,002;100,652;100,799;100,711;101,054
IF;IC;IC;48,359;29,812;0,018;0,584;0,009;0,32;0,003;0,045;0,014;-99;-99;71,509;9,001;2,856;11,857;16,634;50,297;27,108;0,017;0,449;0,007;0,264;0,003;0,037;0,014;-99;-99;60,558;12,419;0,019;0,439;0,008;0,251;0,005;0,015;0,021;-99;-99;49,536;28,478;0,022;0,628;0,009;0,39;0,004;0,054;0,024;-99;-99;57,903;16,287;0,02;0,485;0,008;0,284;0,005;0,024;0,022;-99;-99;33,223;51,078;0,024;1,233;0,021;0,588;0,011;0,095;0,003;-99;-99;99,972;99,833;99,784;100,462;99,947;100,589
IF;IC;IC;34,2370;49,396;0,024;0,816;0,004;0,472;0,003;0,086;0,056;-99;-99;51,149;15,72;5,625;21,345;27,506;41,843;38,866;0,019;0,717;0,005;0,421;0,003;0,075;0,053;-99;-99;53,408;21;0,039;1,231;0,006;0,71;0,003;0,053;0,161;-99;-99;14,619;76,523;0,026;1,143;0,002;0,619;0,003;0,11;0,047;-99;-99;43,186;35,632;0,036;1,208;0,005;0,686;0,003;0,068;0,131;-99;-99;13,147;79,659;0,023;0,697;0,002;0,401;0,002;0,121;0,003;-99;-99;99,837;100,008;99,613;99,408;99,56;99,735
IC;IC;IC;34,63;50,085;0,022;0,6;0,005;0,34;0,003;0,072;0,022;-99;-99;88,942;3,181;1,765;4,946;6,112;35,002;49,945;0,018;0,409;0,005;0,25;0,003;0,069;0,017;-99;-99;42,36;38,559;0,05;0,577;0,003;0,494;0,003;0,077;0,052;-99;-99;36,719;45,143;0,093;0,961;0,002;0,894;0,005;0,067;0,036;-99;-99;40,347;40,909;0,065;0,714;0,003;0,637;0,004;0,073;0,046;-99;-99;24,596;59,554;0,04;3,283;0,002;1,417;0,076;0,117;0,003;-99;-99;100,69;100,783;100,443;99,819;100,22;99,709
IC;IC;IC;33,205;51,645;0,022;0,537;0,002;0,265;0,003;0,075;0,027;-99;-99;97,854;1,293;0,231;1,524;0,622;33,354;51,457;0,022;0,519;0,002;0,258;0,003;0,074;0,027;-99;-99;31,535;54,025;0,032;0,886;0,002;0,396;0,003;0,101;0,066;-99;-99;28,639;56,167;0,063;1,737;0,002;0,765;0,004;0,116;0,046;-99;-99;31,096;54,35;0,037;1,015;0,002;0,452;0,003;0,103;0,063;-99;-99;15,004;74,624;0,06;2,199;0,002;0,963;0,002;0,144;0,005;-99;-99;100,081;100,077;100,638;99,927;100,531;99,528
IC;IC;IC;30,8950;54,75;0,026;0,525;0,002;0,328;0,003;0,086;0,012;-99;-99;90,075;2,042;0,64;2,682;7,243;32,612;52,317;0,026;0,538;0,002;0,329;0,003;0,082;0,013;-99;-99;37,611;45,828;0,037;0,418;0,004;0,395;0,003;0,056;0,003;-99;-99;35,946;47,425;0,059;0,536;0,003;0,701;0,003;0,071;0,002;-99;-99;37,214;46,209;0,042;0,446;0,004;0,468;0,003;0,06;0,003;-99;-99;7,201;88,167;0,022;0,389;0,002;0,264;0,002;0,144;0,004;-99;-99;99,936;99,97;100,565;100,269;100,495;99,318
IC;IC;IC;34,643;49,791;0,032;0,511;0,004;0,326;0,026;0,087;0,009;-99;-99;95,315;1,617;0,401;2,018;2,667;34,99;49,335;0,031;0,488;0,004;0,314;0,027;0,087;0,009;-99;-99;36,467;46,828;0,041;0,756;0,002;0,472;0,003;0,088;0,011;-99;-99;40,816;38,48;0,124;1,455;0,003;1,028;0,006;0,073;0,016;-99;-99;37,331;45,169;0,057;0,895;0,002;0,582;0,004;0,085;0,012;-99;-99;20,209;69,569;0,045;1,034;0,002;0,545;0,002;0,096;0,003;-99;-99;100,356;100,361;100,391;99,701;100,252;100,248
IC;IC;IC;34,204;51,012;0,046;0,362;0,002;0,267;0,057;0,085;0,004;-99;-99;94,592;2,101;0,41;2,511;2,897;34,124;51,242;0,046;0,329;0,002;0,25;0,06;0,085;0,003;-99;-99;46,08;33,479;0,039;0,508;0,002;0,39;0,011;0,073;0,03;-99;-99;43,982;34,295;0,095;1,011;0,002;0,853;0,033;0,065;0,028;-99;-99;45,737;33,612;0,048;0,59;0,002;0,466;0,015;0,072;0,03;-99;-99;26,833;58,584;0,045;1,242;0,002;0,655;0,002;0,096;0,003;-99;-99;100,797;100,864;100,464;99,386;100,288;99,051
HARF;IFR;IFR;61,1370;8,199;0,062;1,328;0,331;2,624;0,022;0,094;0,035;-99;-99;10,191;7,168;7,609;14,777;75,032;59,095;10,178;0,063;1,29;0,282;2,979;0,008;0,079;0,033;-99;-99;62,962;5,612;0,052;0,963;0,266;2,746;0,009;0,044;0,032;-99;-99;58,438;10,927;0,037;2,33;0,157;2,522;0,009;0,06;0,032;-99;-99;60,632;8,349;0,044;1,667;0,21;2,631;0,009;0,052;0,032;-99;-99;61,514;7,901;0,065;1,267;0,361;2,575;0,036;0,104;0,027;-99;-99;100,28;99,564;99,885;99,716;99,798;100,472
IF;IGO;IGO;47,549;24,384;0,084;1,606;0,888;4,445;0,012;0,09;0,034;-99;-99;19,468;26,51;11,052;37,562;42,97;56,379;12,818;0,089;0,881;0,394;5,261;0,011;0,069;0,028;-99;-99;56,633;10,86;0,104;1,158;1,038;5,815;0,023;0,058;0,036;-99;-99;52,11;15,44;0,09;1,274;2,031;4,926;0,017;0,083;0,036;-99;-99;55,302;12,208;0,1;1,192;1,33;5,553;0,021;0,065;0,036;-99;-99;36,771;40,269;0,067;2,296;0,726;3,106;0,036;0,12;0,004;-99;-99;99,89;100,386;100,497;99,106;100,087;99,493
IF;IF;IF;41,128;37,506;0,05;0,925;0,118;2,291;0,006;0,081;0,027;-99;-99;13,75;20,44;9,527;29,967;56,283;51,671;21,758;0,061;0,97;0,053;3,039;0,005;0,055;0,03;-99;-99;56,594;14,853;0,052;0,583;0,153;2,792;0,008;0,05;0,047;-99;-99;58,059;13,699;0,064;0,904;0,165;2,846;0,017;0,06;0,044;-99;-99;57,06;14,486;0,056;0,685;0,157;2,809;0,011;0,053;0,046;-99;-99;30,069;53,609;0,045;1,041;0,113;1,833;0,016;0,102;0,003;-99;-99;99,903;99,939;99,562;100,937;100;99,843
IF;IF;IF;42,864;35,691;0,081;0,51;0,027;2,516;0,003;0,083;0,012;-99;-99;45,352;8,956;6,821;15,777;38,871;49,25;25,793;0,112;0,348;0,032;3,432;0,004;0,089;0,01;-99;-99;56,962;14,77;0,094;0,524;0,113;2,894;0,003;0,051;0,021;-99;-99;55,497;17,331;0,08;0,703;0,024;2,363;0,003;0,067;0,029;-99;-99;56,329;15,877;0,088;0,601;0,075;2,664;0,003;0,058;0,024;-99;-99;29,949;55,282;0,042;0,661;0,003;1,387;0,009;0,087;0,003;-99;-99;100,32;100,387;100,063;100,054;100,059;100,347
IF;IF;IF;33,549;48,953;0,067;0,656;0,051;2,455;0,003;0,097;0,023;-99;-99;49,237;7,936;4,868;12,804;37,959;35,418;44,993;0,095;0,74;0,039;3,861;0,003;0,076;0,029;-99;-99;26,679;58,697;0,07;0,421;0,152;2,024;0,003;0,076;0,002;-99;-99;30,608;54,626;0,045;0,445;0,156;1,201;0,003;0,123;0,014;-99;-99;28,173;57,149;0,06;0,43;0,154;1,711;0,003;0,094;0,007;-99;-99;32,937;51,324;0,034;0,624;0,032;0,881;0,022;0,124;0,003;-99;-99;100,371;100,607;99,723;100,477;100,009;100,187
IC;IC;IC;31,663;52,765;0,065;0,505;0,053;1,578;0,003;0,117;0,002;-99;-99;89,609;4,731;1,057;5,788;4,603;31,791;52,687;0,065;0,463;0,04;1,575;0,003;0,121;0,002;-99;-99;36,843;45,192;0,076;0,54;0,142;1,778;0,003;0,083;0,006;-99;-99;34,096;48,669;0,087;0,638;0,492;1,798;0,003;0,078;0,009;-99;-99;36,341;45,827;0,078;0,558;0,206;1,782;0,003;0,082;0,007;-99;-99;23,283;62,997;0,055;1,252;0,124;1,383;0,007;0,09;0,003;-99;-99;100,457;100,503;100,634;100,777;100,66;99,306
IC;IC;IC;33,6260;49,931;0,042;0,64;0,01;0,793;0,024;0,071;0,003;-99;-99;87,368;4,794;1,73;6,524;6,108;34,696;48,584;0,04;0,546;0,009;0,727;0,026;0,069;0,002;-99;-99;37,634;43,294;0,063;0,889;0,017;1,223;0,005;0,069;0,011;-99;-99;29,544;54,986;0,071;1,39;0,026;1,423;0,022;0,091;0,012;-99;-99;35,489;46,394;0,065;1,022;0,019;1,276;0,01;0,075;0,011;-99;-99;16,339;72,982;0,054;1,571;0,008;1,215;0,007;0,103;0,012;-99;-99;99,648;99,662;99,463;100,359;99,7;99,384
IC;IC;IC;29,968;55,204;0,054;0,337;0,033;1,535;0,003;0,079;0,002;-99;-99;95,871;2,018;0,407;2,425;1,704;29,907;55,324;0,054;0,315;0,028;1,523;0,003;0,079;0,002;-99;-99;38,669;42,245;0,066;0,666;0,051;2,03;0,003;0,055;0,002;-99;-99;37,375;42,514;0,092;0,85;0,516;2,288;0,003;0,053;0,002;-99;-99;38,452;42,29;0,07;0,697;0,129;2,073;0,003;0,055;0,002;-99;-99;21,3;66,819;0,051;1,065;0,182;1,433;0,002;0,103;0,003;-99;-99;100,171;100,164;100,503;100,022;100,422;100,229
IS;IC;IC;31,654;51,462;0,065;1,1;0,031;1,923;0,004;0,107;0,013;-99;-99;61,972;15,16;4,242;19,402;18,626;29,983;54,766;0,052;0,738;0,025;1,535;0,003;0,128;0,005;-99;-99;37,654;41,534;0,084;1,186;0,045;2,753;0,01;0,053;0,019;-99;-99;40,368;36,973;0,106;1,911;0,058;2,984;0,003;0,065;0,027;-99;-99;38,247;40,537;0,089;1,345;0,048;2,804;0,008;0,056;0,021;-99;-99;30,347;51,852;0,086;2,052;0,035;2,296;0,03;0,089;0,003;-99;-99;100,056;100,193;99,64;99,995;99,719;99,951
IC;IC;IC;29,258;57,782;0,014;0,128;0,011;0,188;0,011;0,01;0,013;-99;0,637;62,7;11;3,5;14,5;22,8;29,28;57,44;0,016;0,12;0,01;0,22;0,012;0,01;0,01;-99;0,6;43,73;37,4;0,012;0,13;0,017;0,19;0,011;0,01;0,024;-99;0,7;47,98;31,63;0,01;0,13;0,012;0,19;0,013;0,01;0,013;-99;0,7;44,756;36,007;0,012;0,13;0,016;0,19;0,011;0,01;0,021;-99;0,7;19,34;72,57;0,01;0,15;0,01;0,1;0,016;0,01;0,01;-99;0,7;99,987;99,702;100,311;100,597;100,381;100,518
IF;IC;IC;30,5140;55,775;0,016;0,398;0,018;0,336;0,015;0,01;0,027;-99;0,857;52,2;8,6;5,9;14,5;33,3;30,62;56,03;0,013;0,16;0,01;0,15;0,01;0,01;0,024;-99;0,9;50,78;25,98;0,02;0,31;0,015;0,32;0,038;0,01;0,034;-99;1,1;48,71;27,72;0,03;0,87;0,04;0,91;0,014;0,01;0,047;-99;1;49,938;26,688;0,024;0,538;0,025;0,56;0,028;0,01;0,039;-99;1,059;21,89;68,04;0,017;0,71;0,028;0,53;0,026;0,01;0,018;-99;0,7;100,217;100,173;99,319;99,298;99,31;100,681
IF;IF;IF;38,5000;43,586;0,01;0,546;0,011;0,36;0,01;0,185;0,013;-99;0,999;35,7;12,5;8,5;21;43,3;43,4;37,38;0,01;0,12;0,01;0,12;0,01;0,198;0,014;-99;1,2;58,35;16,09;0,01;0,21;0,01;0,22;0,01;0,114;0,01;-99;1,6;57,3;16,74;0,01;0,47;0,014;0,35;0,01;0,12;0,019;-99;1,3;57,925;16,353;0,01;0,315;0,012;0,273;0,01;0,116;0,014;-99;1,479;25,04;61,91;0,01;1,01;0,011;0,6;0,011;0,208;0,01;-99;0,6;99,746;99,885;100,058;99,627;99,884;99,565
IC;IC;IC;37,908;45,097;0,016;0,16;0,01;0,17;0,011;0,171;0,012;-99;1,178;74;7;3;10;16;38,37;44,61;0,016;0,1;0,01;0,12;0,01;0,184;0,011;-99;1,3;49,21;28,94;0,019;0,12;0,01;0,23;0,015;0,173;0,015;-99;1,1;54,48;21,29;0,017;0,25;0,01;0,29;0,018;0,049;0,016;-99;0,9;50,791;26,645;0,018;0,159;0,01;0,248;0,016;0,136;0,015;-99;1,04;27,72;58,88;0,014;0,44;0,01;0,35;0,016;0,13;0,01;-99;0,7;99,826;99,897;99,867;99,824;99,853;99,478
IC;IC;IC;33,3210;51,791;0,013;0,107;0,01;0,222;0,01;0,139;0,012;-99;0,812;87,5;5;1,3;6,3;6,2;33,93;50,94;0,012;0,1;0,01;0,21;0,01;0,135;0,011;-99;0,8;36,45;47,32;0,02;0,1;0,01;0,27;0,01;0,166;0,013;-99;0,9;40,5;40,83;0,031;0,19;0,023;0,35;0,01;0,193;0,014;-99;1,3;37,286;45,981;0,022;0,119;0,013;0,287;0,01;0,172;0,013;-99;0,983;20,69;69,7;0,02;0,2;0,014;0,32;0,017;0,162;0,011;-99;0,8;99,934;99,928;100,019;99,546;99,923;100,027
IC;IC;IC;32,147;53,519;0,027;0,1;0,01;0,219;0,01;0,182;0,01;-99;0,811;91,9;4,7;0,8;5,5;2,6;32,49;53,05;0,027;0,1;0,01;0,22;0,01;0,184;0,01;-99;0,8;31,6;53,98;0,035;0,1;0,01;0,2;0,01;0,155;0,01;-99;1;34,48;49,66;0,033;0,1;0,051;0,1;0,01;0,185;0,01;-99;1;32,019;53,352;0,035;0,1;0,016;0,185;0,01;0,159;0,01;-99;1;20,3;70,45;0,022;0,1;0,014;0,24;0,015;0,154;0,012;-99;0,8;100,048;100,072;99,692;99,468;99,66;100,035
IC;IC;IC;35,424;48,237;0,028;0,113;0,013;0,247;0,014;0,173;0,012;-99;1,36;92,1;4,7;0,8;5,5;2,4;35,7;47,8;0,029;0,11;0,013;0,25;0,014;0,171;0,012;-99;1,4;37,09;46,52;0,02;0,11;0,011;0,13;0,01;0,193;0,01;-99;1;41,56;39,59;0,027;0,17;0,028;0,26;0,011;0,186;0,014;-99;0,9;37,74;45,512;0,021;0,119;0,013;0,149;0,01;0,192;0,011;-99;0,985;19,54;71,24;0,019;0,23;0,016;0,34;0,01;0,189;0,01;-99;0,7;99,476;99,432;100,026;99,716;99,981;99,995
IS;IC;IC;33,469;52,497;0,012;0,194;0,01;0,176;0,011;0,01;0,014;-99;0,936;82,8;4;2,1;6,1;11,1;35,19;50,17;0,011;0,12;0,01;0,15;0,01;0,01;0,012;-99;1;38,09;44,81;0,015;0,27;0,01;0,15;0,01;0,01;0,01;-99;0,9;33,56;51,47;0,028;0,75;0,013;0,42;0,01;0,01;0,034;-99;0,8;36,53;47,103;0,019;0,435;0,011;0,243;0,01;0,01;0,018;-99;0,866;18,95;72,82;0,018;0,61;0,01;0,33;0,023;0,01;0,015;-99;0,5;100,76;100,787;99,733;100,728;100,074;100,938
IS;IC;IC;33,971;51,074;0,024;0,263;0,01;0,139;0,028;0,01;0,01;-99;0,762;77;6,2;2,1;8,3;14,7;34,74;49,95;0,024;0,22;0,01;0,1;0,033;0,01;0,01;-99;0,8;49,25;29;0,02;0,31;0,01;0,22;0,01;0,01;0,013;-99;0,9;50,88;25,34;0,054;0,61;0,012;0,42;0,019;0,01;0,015;-99;0,8;49,662;28,074;0,029;0,386;0,011;0,271;0,012;0,01;0,014;-99;0,875;21,08;69,95;0,021;0,42;0,01;0,27;0,01;0,01;0,01;-99;0,5;100,134;100,031;100,003;99,269;99,819;100,852
IS;IC;IC;36,0590;48,503;0,019;0,332;0,01;0,218;0,01;0,01;0,014;-99;0,92;64,9;7,6;3,4;11;24,1;38,75;44,94;0,01;0,21;0,01;0,13;0,01;0,01;0,014;-99;1;51,18;26,34;0,015;0,26;0,01;0,18;0,016;0,01;0,012;-99;0,9;49,35;27,64;0,067;0,51;0,011;0,4;0,01;0,01;0,017;-99;1;50,614;26,742;0,031;0,337;0,01;0,248;0,014;0,01;0,014;-99;0,931;22,17;68,03;0,036;0,66;0,01;0,44;0,014;0,01;0,01;-99;0,7;100,665;100,716;100,006;99,276;99,78;100,932
IC;IC;IC;32,873;52,81;0,011;0,158;0,01;0,174;0,01;0,01;0,01;-99;0,593;88,6;3,9;1,5;5,4;6;33,8;51,53;0,01;0,14;0,01;0,17;0,01;0,01;0,01;-99;0,6;35,73;47,03;0,01;0,19;0,01;0,17;0,01;0,01;0,01;-99;0,6;37,99;45,6;0,025;0,41;0,016;0,26;0,012;0,01;0,01;-99;0,5;36,358;46,633;0,014;0,251;0,012;0,195;0,011;0,01;0,01;-99;0,572;16,04;77,27;0,017;0,34;0,01;0,21;0,01;0,01;0,01;-99;0,5;100,187;100,209;98,518;100,677;99,119;100,817
IC;IC;IC;32,432;53,402;0,013;0,219;0,01;0,133;0,01;0,01;0,014;-99;0,508;88,7;3,3;1,2;4,5;6,8;32,91;52,78;0,012;0,17;0,01;0,1;0,01;0,01;0,014;-99;0,5;36,73;47,32;0,017;0,24;0,01;0,17;0,012;0,01;0,01;-99;0,5;37,58;45,72;0,034;0,59;0,013;0,46;0,01;0,01;0,013;-99;0,6;36,957;46,893;0,022;0,333;0,011;0,247;0,011;0,01;0,011;-99;0,527;23,21;65,82;0,025;0,78;0,01;0,49;0,014;0,01;0,016;-99;0,6;100,183;100,159;100,309;100,605;100,389;100,363
IC;IC;IC;27,899;60,26;0,013;0,133;0,01;0,114;0,01;0,01;0,011;-99;1,142;89,9;2,9;1,3;4,2;5,9;27,89;60,35;0,01;0,1;0,01;0,1;0,01;0,01;0,01;-99;1,2;34,64;50,44;0,03;0,22;0,01;0,1;0,01;0,01;0,022;-99;0,8;39,38;42,44;0,055;0,44;0,016;0,16;0,013;0,01;0,01;-99;0,8;36,107;47,964;0,038;0,288;0,012;0,119;0,011;0,01;0,018;-99;0,8;22,19;67,65;0,036;0,53;0,01;0,33;0,013;0,01;0,01;-99;0,5;100,428;100,449;100,381;99,494;100,107;100,346
IC;IC;IC;32,6000;52,256;0,024;0,203;0,01;0,208;0,011;0,14;0,011;-99;1,071;90,9;3,6;0,9;4,5;4,6;32,98;51,75;0,019;0,14;0,01;0,16;0,01;0,139;0,01;-99;1,1;42,44;38,55;0,052;0,41;0,012;0,47;0,017;0,165;0,017;-99;0,7;38,81;41,06;0,132;1,47;0,021;0,94;0,023;0,14;0,012;-99;1;41,714;39,052;0,068;0,622;0,014;0,564;0,018;0,16;0,016;-99;0,76;16,17;75,18;0,07;1,04;0,011;0,8;0,02;0,148;0,014;-99;0,8;99,467;99,379;100,416;99,427;100,218;100,467
